Produit,Hauteur_mm,Epaisseur_mm,Prix_Base_EUR,Laquage_EUR,Fixation_EUR,Retro_EUR,Famille
Lettre PVC,100.0,19.0,9.0,8.0,2.5,31.0,PVC 19 mm
Lettre PVC,150.0,19.0,11.0,8.5,3.5,40.0,PVC 19 mm
Lettre PVC,200.0,19.0,14.0,9.0,5.0,42.0,PVC 19 mm
Lettre PVC,250.0,19.0,17.0,10.0,6.0,46.0,PVC 19 mm
Lettre PVC,300.0,19.0,22.0,11.0,7.5,51.0,PVC 19 mm
Lettre PVC,350.0,19.0,27.0,12.5,8.5,56.0,PVC 19 mm
Lettre PVC,400.0,19.0,33.0,14.0,10.0,59.0,PVC 19 mm
Lettre PVC,450.0,19.0,40.0,16.0,11.0,63.0,PVC 19 mm
Lettre PVC,500.0,19.0,48.0,18.0,12.5,70.0,PVC 19 mm
Lettre PVC,600.0,19.0,66.0,22.5,15.0,102.0,PVC 19 mm
Lettre PVC,700.0,19.0,87.0,28.0,17.5,119.0,PVC 19 mm
Lettre PVC,800.0,19.0,111.0,34.0,20.0,137.0,PVC 19 mm
Lettre PVC,900.0,19.0,139.0,42.0,22.0,154.0,PVC 19 mm
Lettre PVC,1000.0,19.0,170.0,50.0,25.0,171.0,PVC 19 mm
Lettre PVC,1100.0,19.0,201.0,58.0,28.0,187.0,PVC 19 mm
Lettre PVC,1200.0,19.0,232.0,66.0,30.0,203.0,PVC 19 mm
Lettre PVC,1300.0,19.0,262.0,74.0,33.0,221.0,PVC 19 mm
Lettre PVC,1400.0,19.0,293.0,82.0,35.0,242.0,PVC 19 mm
Lettre PVC,1500.0,19.0,324.0,90.0,38.0,265.0,PVC 19 mm
Lettre PVC,100.0,30.0,10.0,8.0,2.5,31.0,PVC 30 mm
Lettre PVC,150.0,30.0,13.0,8.5,3.5,40.0,PVC 30 mm
Lettre PVC,200.0,30.0,17.0,9.0,5.0,42.0,PVC 30 mm
Lettre PVC,250.0,30.0,23.0,10.0,6.0,46.0,PVC 30 mm
Lettre PVC,300.0,30.0,29.0,11.0,7.0,51.0,PVC 30 mm
Lettre PVC,350.0,30.0,37.0,12.0,8.5,56.0,PVC 30 mm
Lettre PVC,400.0,30.0,47.0,14.0,10.0,59.0,PVC 30 mm
Lettre PVC,450.0,30.0,57.0,16.0,11.0,63.0,PVC 30 mm
Lettre PVC,500.0,30.0,69.0,18.0,12.0,70.0,PVC 30 mm
Lettre PVC,600.0,30.0,96.0,22.0,15.0,102.0,PVC 30 mm
Lettre PVC,700.0,30.0,128.0,28.0,17.0,119.0,PVC 30 mm
Lettre PVC,800.0,30.0,165.0,34.0,20.0,137.0,PVC 30 mm
Lettre PVC,900.0,30.0,207.0,42.0,22.0,154.0,PVC 30 mm
Lettre PVC,1000.0,30.0,254.0,50.0,25.0,171.0,PVC 30 mm
Lettre PVC,1100.0,30.0,300.0,58.0,28.0,187.0,PVC 30 mm
Lettre PVC,1200.0,30.0,347.0,66.0,30.0,203.0,PVC 30 mm
Lettre PVC,1300.0,30.0,394.0,74.0,33.0,221.0,PVC 30 mm
Lettre PVC,1400.0,30.0,441.0,82.0,35.0,242.0,PVC 30 mm
Lettre PVC,1500.0,30.0,488.0,90.0,38.0,265.0,PVC 30 mm
