Type;Hauteur;Épaisseur;Base;Laquage;Fixation;Rétroéclairage;Label
Lettre PVC;100;10;8.5;8.0;2.5;;PVC 10 mm
Lettre PVC;150;10;10.0;8.5;3.5;;PVC 10 mm
Lettre PVC;200;10;12.0;9.0;5.0;;PVC 10 mm
Lettre PVC;250;10;14.0;10.0;6.0;;PVC 10 mm
Lettre PVC;300;10;17.0;11.0;7.5;;PVC 10 mm
Lettre PVC;350;10;21.0;12.5;8.5;;PVC 10 mm
Lettre PVC;400;10;25.0;14.0;10.0;;PVC 10 mm
Lettre PVC;450;10;29.5;16.0;11.0;;PVC 10 mm
Lettre PVC;500;10;35.0;18.0;12.5;;PVC 10 mm
Lettre PVC;600;10;47.0;22.5;15.0;;PVC 10 mm
Lettre PVC;700;10;61.0;28.0;17.5;;PVC 10 mm
Lettre PVC;800;10;77.5;34.5;20.0;;PVC 10 mm
Lettre PVC;900;10;96.0;42.0;22.5;;PVC 10 mm
Lettre PVC;1000;10;117.0;50.0;25.0;;PVC 10 mm
Lettre PVC;1100;10;138.0;58.0;28.0;;PVC 10 mm
Lettre PVC;1200;10;158.5;66.0;30.0;;PVC 10 mm
Lettre PVC;1300;10;179.0;74.0;33.0;;PVC 10 mm
Lettre PVC;1400;10;200.0;82.0;35.0;;PVC 10 mm
Lettre PVC;1500;10;221.0;90.0;38.0;;PVC 10 mm
Lettre PVC;100;19;9.0;8.0;2.5;31.0;PVC 19 mm
Lettre PVC;150;19;11.0;8.5;3.5;40.0;PVC 19 mm
Lettre PVC;200;19;14.0;9.0;5.0;42.0;PVC 19 mm
Lettre PVC;250;19;17.0;10.0;6.0;46.0;PVC 19 mm
Lettre PVC;300;19;22.0;11.0;7.5;51.0;PVC 19 mm
Lettre PVC;350;19;27.0;12.5;8.5;56.0;PVC 19 mm
Lettre PVC;400;19;33.0;14.0;10.0;59.0;PVC 19 mm
Lettre PVC;450;19;40.0;16.0;11.0;63.0;PVC 19 mm
Lettre PVC;500;19;48.0;18.0;12.5;70.0;PVC 19 mm
Lettre PVC;600;19;66.0;22.5;15.0;102.0;PVC 19 mm
Lettre PVC;700;19;87.0;28.0;17.5;119.0;PVC 19 mm
